SELECT * FROM empleado WHERE nombre LIKE 'M%';
+-------------+-----------+------------+------------------+------------------+---------------+
| id_empleado | id_puesto | nombre     | apellido_paterno | apellido_materno | rfc           |
+-------------+-----------+------------+------------------+------------------+---------------+
|           2 |       659 | Morey      | Bowskill         | Metham           | SAUJ115055X38 |
|          21 |       317 | Melanie    | Wiffield         | Darque           | ETSG302043I33 |
|          30 |       258 | Mirabella  | Murden           | Bexon            | QDHW540143A35 |
|          53 |       209 | Millie     | Gorden           | Lammerich        | IXHY474580G35 |
|          71 |       656 | Matty      | Rouse            | Ogle             | RLCA504782Z45 |
|          80 |       743 | Moss       | Robinette        | Tredwell         | YSDU292875Y06 |
|          81 |       648 | Mikael     | Crambie          | Lenthall         | QZFJ646758J42 |
|          84 |       918 | Mable      | Glading          | Ridgley          | KMFL104112F59 |
|          89 |       251 | Mychal     | Wahlberg         | Troyes           | ZXTE901978E72 |
|          90 |       258 | Michaeline | Stolli           | Hamer            | NLKQ487540S39 |
|          96 |       516 | Maynord    | Derycot          | Arendsen         | SHVQ947385Y01 |
|         106 |        32 | Mozes      | Proudlock        | Abbet            | DGVE237432Y55 |
|         110 |       764 | Maribel    | Chevolleau       | Dumini           | WOAD845005I23 |
|         117 |       938 | Mallory    | MacKall          | Bride            | ECLW395996O03 |
|         127 |       244 | Malorie    | Killoran         | Vasyukhnov       | BGUQ096578Q54 |
|         144 |       848 | Madella    | Escalero         | Wenzel           | LHVZ394607R96 |
|         173 |       629 | Morganne   | Curley           | Riha             | YKTV750494Q75 |
|         174 |       258 | Melantha   | Ginni            | Wolfindale       | HPDY799736A62 |
|         179 |       635 | Mahmud     | Skett            | Idwal Evans      | NMTJ149483O93 |
|         202 |       775 | Martita    | Baroux           | Pitway           | GWAX539164M60 |
|         219 |        45 | Mabelle    | Sheddan          | Murden           | XOHU952304A00 |
|         225 |       199 | Merrily    | Lidell           | Medford          | WEDY188315Q89 |
|         227 |       510 | Mireielle  | Liddyard         | Bretland         | XSJW578402Z73 |
|         240 |        29 | Milton     | Haselgrove       | Sommers          | OXGV797366G65 |
|         242 |       632 | Mike       | Dutton           | Cruce            | HLKA554264P87 |
|         268 |       854 | Maryjane   | Hanning          | Parcells         | FEJL157406B08 |
|         294 |       649 | Myrle      | Stratley         | Ouldcott         | WPYB370652W57 |
|         296 |       174 | Margaret   | Ramalho          | Allsop           | CANG985212V77 |
|         300 |       428 | Matilda    | Colquhoun        | Inge             | SUJM985549E80 |
|         311 |       448 | Meredithe  | Johnsson         | Reditt           | OQWE115570X82 |
|         312 |        48 | Moselle    | Sharrocks        | Lally            | GOZB937786A21 |
|         356 |       605 | Melosa     | Spavins          | Hesse            | FDJP585948D78 |
|         361 |         4 | Maxy       | Udden            | Kose             | MBZF302490Y06 |
|         368 |       713 | Murdoch    | Middas           | Marcinkus        | MAPT815858G04 |
|         370 |       163 | Meghann    | Dougary          | Partleton        | OXWK562466E31 |
|         371 |       213 | Max        | Paula            | Trotton          | BMLV834299A55 |
|         372 |       197 | Marion     | Manchester       | Colton           | JERB913667S17 |
|         376 |       665 | Mil        | Penddreth        | Lethcoe          | GWFT211396G57 |
|         384 |       743 | Mechelle   | Weller           | Piper            | RPEV372597E42 |
|         387 |        68 | Marguerite | Corbie           | Durnan           | WVDR219915Q07 |
|         398 |       548 | Maribelle  | Van Daalen       | Pigford          | XGPK492502I58 |
|         419 |       125 | Milka      | Benninck         | Le Sieur         | UNSA091919X38 |
|         439 |       728 | Milt       | Melhuish         | Ashbe            | FJRN940065D97 |
|         441 |       450 | Myrilla    | Hathaway         | Thebe            | OYTF089854O67 |
|         443 |       310 | Marillin   | Schult           | Wyman            | CIWM419350O63 |
|         444 |       698 | Mathilde   | Muggach          | Barrington       | PWVH268494F28 |
|         446 |       171 | Moyna      | Yeatman          | Duffrie          | PBUK517962J58 |
|         455 |       138 | Mair       | Ivey             | Craighill        | QVNI559213K54 |
|         468 |       321 | Malinde    | Cato             | Dyhouse          | ZOVJ142322X40 |
|         496 |       749 | Michel     | Pethick          | Denerley         | KHDR197504U08 |
|         499 |       111 | Margarethe | Barden           | Gooke            | CYFJ741944I28 |
|         542 |       919 | Martainn   | Knaggs           | Claridge         | HYAN268701C61 |
|         544 |       617 | Massimo    | Blaine           | Acors            | KQHW767970S13 |
|         567 |       240 | Merrie     | Lamperd          | Widdall          | IRBD092580T41 |
|         574 |       889 | Margaretha | Woodrow          | Van der Son      | RVDQ721468F14 |
|         580 |       589 | Marietta   | Rupert           | Foggarty         | VXNT468062Y38 |
|         598 |       570 | Melicent   | Bowen            | Hawford          | LIHD524049J06 |
|         631 |       904 | Myer       | Dyment           | Coupman          | TQRL486157D18 |
|         632 |       203 | Melania    | Beels            | Rizzolo          | ZTSF980067V84 |
|         642 |       434 | Mela       | Oakenfull        | Lanmeid          | UXGQ962492V26 |
|         652 |       995 | Merle      | Greengrass       | Skain            | ULQK727963M26 |
|         656 |       819 | Maxie      | Mitcheson        | Urry             | POBQ646025Y91 |
|         667 |       499 | Minna      | Willcott         | Yendall          | PZJG071133Z25 |
|         675 |       850 | Myca       | Joao             | Banghe           | GNXL987206R43 |
|         682 |       144 | Mignonne   | Baszniak         | Tremaine         | KNOE553489O79 |
|         689 |       724 | Merrie     | Dorot            | Carss            | BIJX140491Z44 |
|         691 |       197 | Miguelita  | Gyrgorcewicx     | Baitson          | FHUQ255183C40 |
|         693 |       812 | Marcellina | Rennebach        | O'Fairy          | KSXC084833K49 |
|         702 |       120 | Marketa    | Marcone          | Lalley           | BOWR779925S05 |
|         705 |       250 | Myrtie     | Lemery           | Utterson         | NDXL549390U39 |
|         721 |        62 | Mitchael   | Gillson          | Kroon            | BHML727914V05 |
|         731 |       418 | Moina      | Yesson           | Jellyman         | ZBHV480356S19 |
|         733 |       905 | Marla      | Morison          | Radbone          | GINF874329W18 |
|         738 |        24 | Meridith   | Rydeard          | Kolyagin         | OEDI422661W72 |
|         747 |       465 | Miguelita  | Grimsdyke        | Nardi            | SUWQ930882K31 |
|         763 |       945 | Margareta  | McElwee          | Venediktov       | QNGU443101F44 |
|         765 |       427 | Maryellen  | Parkisson        | Itzkovici        | HYWO934761B24 |
|         768 |       372 | Melinda    | Rawet            | Blow             | GFQI220932Q89 |
|         774 |       697 | Matthus    | Greedier         | Schaffel         | HFUI494687Q40 |
|         781 |       850 | Monika     | Baytrop          | Wilne            | SBZX438327K92 |
|         784 |       398 | Madeleine  | Covely           | O'Loughane       | BWPL456191H70 |
|         813 |       345 | Michal     | Trengrouse       | Sermin           | SNYQ097775M27 |
|         820 |       130 | Melodee    | Kilmurry         | Harbisher        | IFMQ480717K67 |
|         836 |       224 | Merv       | Pratton          | Pohl             | TGUD141805N25 |
|         841 |       540 | Mason      | Lorentzen        | Tregust          | JXPT837114V85 |
|         848 |       877 | Monro      | Gavrielli        | Bruckstein       | ETJZ187838Z27 |
|         859 |       143 | Martyn     | Jorn             | Frogley          | VNPX210818D37 |
|         871 |        15 | Morse      | Culpin           | Gatcliff         | NQME098397D30 |
|         873 |       286 | Marten     | Carefull         | Kelberer         | OYCG954523V84 |
|         896 |       650 | Maurise    | Danzey           | Dimitru          | HEQD720455L39 |
|         899 |       449 | Monty      | Rolland          | Woolvett         | FVRT845816K12 |
|         912 |       868 | Mano       | Petrulis         | Guilder          | XBNR827036M42 |
|         914 |       153 | Maurise    | Spratley         | Bener            | OCUR946138Z92 |
|         922 |       366 | Meggi      | Threadgall       | Dayly            | OYLI920516W10 |
|         926 |       457 | Meyer      | Ziemecki         | Skae             | AXFG115443G12 |
|         959 |       450 | Menard     | Pow              | Enochsson        | LVZO866427F13 |
|         973 |       799 | Merell     | Blore            | Rijkeseis        | FECO887425Y85 |
|         990 |       862 | Margi      | Sinkin           | Lawford          | VEHA568806I92 |
|         993 |       719 | Merrel     | Furzey           | Benech           | NPGA941789A17 |
+-------------+-----------+------------+------------------+------------------+---------------+
99 rows in set (0.12 sec)


mysql> SELECT * FROM empleado WHERE nombre LIKE '%a';
+-------------+-----------+-------------+------------------+------------------+---------------+
| id_empleado | id_puesto | nombre      | apellido_paterno | apellido_materno | rfc           |
+-------------+-----------+-------------+------------------+------------------+---------------+
|           1 |       235 | Enrichetta  | Bodechon         | Ivkovic          | CLKQ293450Y89 |
|          16 |       146 | Yulma       | Biskupek         | Gallety          | LEXT995305G96 |
|          29 |       594 | Klara       | Issatt           | Plampeyn         | NWUO816774Z70 |
|          30 |       258 | Mirabella   | Murden           | Bexon            | QDHW540143A35 |
|          38 |        62 | Allina      | Mea              | O'Bradain        | OLKX206084U54 |
|          44 |       584 | Susana      | Polack           | Fermor           | OHJB687925X00 |
|          48 |       452 | Decca       | McAlinden        | Signorelli       | VINB499630H31 |
|          51 |       264 | Joshia      | Emes             | Theze            | NSPZ195280H40 |
|          60 |       532 | Guinna      | Troughton        | Daubney          | DHLW940247W65 |
|          68 |       853 | Aurelia     | Lissandre        | Stedman          | WFVQ405975J58 |
|          74 |        62 | Ofelia      | Schimank         | Gamon            | POKQ786943H81 |
|          87 |       702 | Luciana     | Broadbridge      | Wickey           | WVEG877882C28 |
|         101 |       272 | Zelma       | Seefus           | Gresley          | LSPB214787J14 |
|         103 |       233 | Sada        | Tenwick          | Connachan        | SDYB597883E65 |
|         104 |        94 | Feliza      | Morston          | Scawn            | CAXP093406B51 |
|         113 |        14 | Agneta      | Viccary          | Bateson          | KUNS092257C26 |
|         114 |        37 | Vivia       | Sharpling        | Dickman          | ZUAD515720N91 |
|         116 |       940 | Nana        | Baumler          | Lyte             | CNZF786183P53 |
|         135 |       110 | Sylvia      | Stenner          | Jouaneton        | CZRF470924J45 |
|         137 |       561 | Bethena     | Joly             | Faldo            | QKZE472918F72 |
|         141 |       763 | Hyacinthia  | Petz             | Cirlos           | KBEO062275Y23 |
|         144 |       848 | Madella     | Escalero         | Wenzel           | LHVZ394607R96 |
|         148 |       209 | Teirtza     | Slack            | Beloe            | TWNE896154J25 |
|         150 |       242 | Theodosia   | Tomanek          | Coopper          | WOJC577448N95 |
|         154 |       427 | Neda        | Bogays           | Loosley          | FYCB281953F12 |
|         155 |       490 | Rubina      | Branigan         | Chumley          | APWG607752U21 |
|         156 |       119 | Goldina     | Fickling         | Huton            | NEPW286884H49 |
|         161 |       726 | Ariana      | Waldera          | Olerenshaw       | ZXHN369980U53 |
|         166 |         6 | Della       | Fulbrook         | Harrie           | APGJ840909W11 |
|         174 |       258 | Melantha    | Ginni            | Wolfindale       | HPDY799736A62 |
|         176 |       155 | Jehanna     | Schmuhl          | Spight           | GHKU089385S95 |
|         181 |       491 | Hermina     | MacConnal        | Gavey            | LUCB737962C47 |
|         182 |       926 | Cayla       | Tolefree         | Chatto           | KJQD081108R47 |
|         187 |       282 | Ema         | Itzkovwich       | Duthie           | FRXW526637M66 |
|         190 |       581 | Adrea       | Kingston         | Rawle            | ANVO858924Z92 |
|         191 |       661 | Sonia       | Raiment          | Youster          | AXVC766731B10 |
|         202 |       775 | Martita     | Baroux           | Pitway           | GWAX539164M60 |
|         203 |       248 | Feodora     | Gough            | Natalie          | QDVX992804D67 |
|         204 |       912 | Irita       | Laurie           | Thompstone       | PCVS688880G66 |
|         206 |         6 | Katya       | Banbridge        | Fossitt          | ELAY505814Q48 |
|         216 |       362 | Phyllida    | Mathan           | Bittlestone      | SGQO273998B88 |
|         226 |       209 | Bellina     | Elwill           | Revey            | OKEA355243B15 |
|         231 |       484 | Agnola      | Shutler          | Clendennen       | CEHO015106G68 |
|         254 |       408 | Hermia      | Batho            | Behrens          | WYDZ580769F19 |
|         259 |       955 | Trisha      | Brooke           | Attarge          | IULO681220H65 |
|         264 |       390 | Odessa      | Grubbe           | Friday           | JQBZ698868N69 |
|         270 |       908 | Elfrida     | Saunier          | Caudray          | FVGT541978A33 |
|         281 |       380 | Claudia     | Cammish          | Dmitriev         | PFJI356855W02 |
|         291 |        95 | Allegra     | Ciepluch         | Sidsaff          | NSRM333041N84 |
|         300 |       428 | Matilda     | Colquhoun        | Inge             | SUJM985549E80 |
|         302 |       817 | Angelika    | Kember           | Klesl            | DVWH453301E30 |
|         303 |       561 | Petrina     | Dowglass         | Tottle           | PQEC462614Q84 |
|         309 |       360 | Corina      | Piwell           | Gross            | RNWT294210I40 |
|         314 |       300 | Catlaina    | Saines           | Barttrum         | VMBH558627F42 |
|         324 |       649 | Brigitta    | Pitkeathly       | Cluely           | HSJV922677F86 |
|         333 |       731 | Prisca      | Beresford        | Congdon          | RZGT674132U20 |
|         338 |       606 | Albina      | Boyland          | Collens          | TPJV121605B24 |
